Bay biscuit;;1 unidad;15
Galletitas rellenas grandes;;1 unidad;15
Galletitas rellenas chicas;;2 unidades;15
Galletitas simples;;3 unidades;15
Madalena;;1 unidad;15
Obleas simples;;4 unidades;15
Turrón de maní;;1 unidad;15
Vainilla;;1 unidad;15
Alfajor simple;;1 unidad;30
Alfajor triple;;1 unidad;45
Alfajor dietético;;1 unidad;30
Chocoarroz;;1 unidad;15
